basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	numbper	tabsent	hhldtype	sourcedw	wheredws	toilet	wheretf	garbage	litetype	cookfuel	foodstor	walkstor	ridestor	trancost	busyroad	AIRQUAL1	AIRQUAL2	gencond	neighcon	neighgar	areafood	settlemn	resarea	AREA50M	houses	walkhous	walkroad	kindroad	boatride	walktran	electric	elecserv	material	neighmat	housneat	children	mother	ownhouse	ownlots	valhouse	rentfree	rental	feerent	samehous	renovatn	roomnumb	bathroom	bicyle	bikecar	motobike	motorcar	cars	jeepney	trucks	boat	banca	carriage	tractor	vehicle	chicken	goats	pigs	cows	carabaos	horses	animal	livinset	dineset	cabinet	bedwmatt	bedwomat	furnitur	eleciron	elecfan	aircon	sewmach	refriger	gastove	oven	rcooker	micwave	prcooker	colortv	tvcable	vcr	recorder	cdplayer	karaoke	computer	internet	washingm	vacuum	kerstove	applian	EQUIPM1	EQ1NUMB	EQUIPM2	EQ2NUMB	EQUIPM3	EQ3NUMB	EQUIPM4	EQ4NUMB	EQUIPM5	EQ5NUMB	purchase	MAJORP1	MAJORP2	MAJORP3	MAJORP4	MAJORP5	business	TYPEBIS1	TYPEBIS2	EMPLOY1	EMPLOY2	telephon	CELLFON1	CELLFON2	CELLFON3	CELLFON4	CELLFON5	economic	BETTER1	BETTER2	BETTER3	WORSE1	WORSE2	WORSE3	CROP1	EXPCROP1	SOLD1	CONSU1	CROP2	EXPCROP2	SOLD2	CONSU2	CROP3	EXPCROP3	SOLD3	CONSU3	CROP4	EXPCROP4	SOLD4	CONSU4	CROP5	EXPCROP5	SOLD5	CONSU5	CROP6	EXPCROP6	SOLD6	CONSU6	othsourc	agricoml	boarder	pension	remittan	allotmnt	donation	winnings	homegard	sources	inkind	valkind	food	alcobeve	tobacco	allowanc	watlight	cellcard	cabletv	itnetfee	soap	helper	transpo	newsmag	recreate	loans	houselot	schlfees	medical	clothing	durable	cphones	pcomputr	insuran	parties	expenses	OTHREXP1	OTHFREQ1	COST1	OTHREXP2	OTHFREQ2	COST2
13	338	338	13	338	338	11824	1	6	0	2	1	4	2	1	1	1	3	1	-9	30	4.0	0	5	4	2	2	2	2	1	1	1	20	0	1.0	2	-9	1	1	1	2	2	2	1	2	1	0	30000	-9	-9	-9	1	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	1	1	1	0	0	0	1	2	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	1	62	-9	0	-9	0	1	-9	-9	-9	-9	2	-9	-9	-9	1	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	0	0	4000	0	0	1	400	740.0	0.0	0.0	130.0	840.0	280.0	0	0	294.0	0	0.0	0.0	15	0.0	2000	7000	0	150	240	2000	0	0	1000	0	-9	-9	-9.0	-9	-9	-9
13	478	478	13	4001	478	11949	2	3	0	2	1	2	2	1	1	2	2	2	10	-9	-9.0	0	5	-9	1	1	1	3	1	1	1	20	0	3.0	2	-9	3	0	1	1	1	3	3	3	0	0	102000	1	400	-9	0	-9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	200	500.0	0.0	70.0	140.0	596.0	0.0	0	0	104.0	0	384.0	0.0	0	0.0	0	0	80	1400	0	0	0	0	1000	0	-9	-9	-9.0	-9	-9	-9
13	422	422	13	422	422	11898	1	9	0	3	1	1	2	1	1	1	3	1	-9	5	4.0	0	1	-9	4	4	3	1	3	1	1	15	0	1.0	2	-9	1	0	1	3	3	1	1	1	1	0	200000	-9	-9	-9	0	-9	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	1	1	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	10	2	-9	-9	-9	-9	-9	-9	-9	-9	1	1	3	-9	-9	-9	1	62	-9	0	-9	1	3	-9	-9	-9	-9	1	1	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	200	560.0	72.0	60.0	500.0	1710.0	270.0	0	0	1002.0	0	1576.0	0.0	0	0.0	0	12630	1000	1000	0	0	0	0	500	0	-9	-9	-9.0	-9	-9	-9
13	173	173	13	173	173	11711	1	6	1	2	3	4	2	3	1	1	4	2	15	-9	-9.0	0	5	-9	2	2	1	2	2	1	1	20	0	0.0	2	-9	0	1	1	1	1	2	2	2	1	0	50000	-9	-9	-9	1	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	2	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	2	3	7	-9	1	71	-9	0	-9	0	3	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	700	0	10800	0	0	0	1	2000	809.0	0.0	0.0	145.0	622.0	140.0	0	0	700.0	0	466.0	0.0	0	683.0	3500	1204	680	300	9400	2000	0	3200	550	1	1	1	7.0	-9	-9	-9
13	341	341	13	2586	341	11827	1	5	0	6	9	3	2	3	1	1	3	2	10	-9	-9.0	0	5	-9	3	3	3	1	2	1	1	20	0	0.0	2	-9	0	1	1	3	2	1	1	1	1	0	150000	-9	-9	-9	1	1	3	0	0	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	2	1	2	0	0	1	1	0	1	0	0	1	0	2	1	0	2	1	0	1	0	0	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	8	2	1	3	-9	1	71	-9	1	-9	1	2	3	-9	-9	-9	1	3	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	81000	0	1000	0	61000	1	82060	1021.0	26.0	60.0	300.0	2317.0	393.0	0	0	763.0	300	2740.0	180.0	2080	0.0	0	16500	2350	2000	217456	11000	0	8130	28200	1	1	1	20.0	-9	-9	-9
13	545	545	13	545	545	11984	1	9	0	2	1	1	2	1	1	1	3	1	-9	18	4.0	0	1	-9	4	3	3	2	2	1	1	20	0	0.0	1	-9	1	1	1	2	2	2	2	2	1	0	20000	-9	-9	-9	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	1	2	0	1	1	1	0	1	0	1	1	0	1	1	1	0	0	0	1	0	1	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	1	62	-9	0	-9	1	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	5000	20000	0	0	0	0	44000	1	1000	1400.0	0.0	0.0	275.0	1030.0	0.0	0	100	634.0	0	0.0	0.0	0	0.0	0	3200	0	0	0	0	0	200	4000	0	-9	-9	-9.0	-9	-9	-9
13	328	328	13	2213	328	11816	1	5	0	2	3	4	2	2	1	1	4	2	5	-9	-9.0	0	4	5	2	2	2	2	2	1	1	20	0	0.0	2	-9	2	1	1	2	2	2	2	2	0	0	15000	2	-9	800	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	3000	0	0	0	0	0	1	3400	770.0	0.0	42.0	32.0	268.0	0.0	0	0	182.0	0	0.0	0.0	0	0.0	0	1100	200	300	0	0	0	0	0	0	-9	-9	-9.0	-9	-9	-9
13	121	121	13	121	121	11674	1	5	0	2	4	4	2	3	1	1	3	2	10	-9	-9.0	1	5	-9	3	2	2	2	2	1	1	20	0	0.0	2	-9	0	1	1	3	3	2	2	2	1	1	500000	-9	-9	-9	1	1	4	2	1	0	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	1	1	3	2	1	0	1	3	0	0	1	1	1	1	0	1	1	0	1	3	0	3	0	0	0	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	1	3	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	30000	0	0	20000	0	0	0	1	2000	1327.0	17.0	20.0	630.0	1262.0	0.0	0	0	1500.0	0	500.0	0.0	0	100.0	70000	50000	20000	10000	2000	0	0	10000	30000	1	1	3	100.0	-9	-9	-9
13	270	270	13	3176	270	11784	1	9	0	2	3	4	2	1	1	1	2	4	15	-9	-9.0	1	5	-9	2	2	2	2	2	1	1	20	0	3.0	2	-9	3	1	1	2	1	2	2	2	1	1	30000	-9	-9	-9	1	1	6	1	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	1	-9	-9	-9	0	-9	-9	-9	-9	0	0	-9	-9	-9	-9	2	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	40000	0	0	0	0	1	5000	1582.0	0.0	50.0	750.0	880.0	0.0	0	0	208.0	0	0.0	0.0	0	0.0	30000	45730	7800	0	0	0	0	8000	4500	0	-9	-9	-9.0	-9	-9	-9
13	298	298	13	298	298	11797	1	4	0	2	1	1	2	1	1	1	2	1	-9	30	4.0	0	2	-9	2	2	2	2	2	1	1	20	0	5.0	2	-9	5	1	1	2	2	2	2	2	1	0	20000	-9	-9	-9	1	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	-9	-9	-9	-9	1	62	43	0	0	1	0	-9	-9	-9	-9	3	-9	-9	-9	-9	-9	-9	-9	-9.0	-9	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9.0	-9.0	-9	-9.0	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	0	0	0	0	0	0	0	0	48360	0	-9	339.0	20.0	0.0	182.0	765.0	0.0	0	0	321.0	0	824.0	0.0	0	0.0	0	4900	110	270	0	0	0	0	1520	0	-9	-9	-9.0	-9	-9	-9
