basebrgy	basehhno	basewman	BRGAY02	HHNUMB02	WOMAN02	uncmomid	MOMCH02	momlnumb	agemom	maristat	havemaid	maidnumb	buyfood	BUYFOOD1	BUYFOOD2	BUYFOOD3	cookfood	COOKFOD1	COOKFOD2	COOKFOD3	cleanup	CLEANUP1	CLEANUP2	CLEANUP3	cleanhse	CLEANHS1	CLEANHS2	CLEANHS3	buycloth	BUYCLOT1	BUYCLOT2	BUYCLOT3	washclot	WASHCLO1	WASHCLO2	WASHCLO3	carechld	CARECHD1	CARECHD2	CARECHD3	fetchwat	FETCHWA1	FETCHWA2	FETCHWA3	getwood	GETWOOD1	GETWOOD2	GETWOOD3	tendanim	TENDANI1	TENDANI2	TENDANI3	tendgard	TENDGAR1	TENDGAR2	TENDGAR3	repairs	REPAIRS1	REPAIRS2	REPAIRS3	wakeup	breakfst	lunch	supper	bedtime	WAKEACT1	TWAKEAC1	WAKEACT2	TWAKEAC2	WAKEACT3	TWAKEAC3	WAKEACT4	TWAKEAC4	WAKEACT5	TWAKEAC5	WAKEACT6	TWAKEAC6	WAKEACT7	TWAKEAC7	WAKEACT8	TWAKEAC8	MORNACT1	TMORACT1	MORNACT2	TMORACT2	MORNACT3	TMORACT3	MORNACT4	TMORACT4	MORNACT5	TMORACT5	MORNACT6	TMORACT6	MORNACT7	TMORACT7	MORNACT8	TMORACT8	NOONACT1	TNOACT1	NOONACT2	TNOACT2	NOONACT3	TNOACT3	NOONACT4	TNOACT4	NOONACT5	TNOACT5	NOONACT6	TNOACT6	NOONACT7	TNOACT7	NOONACT8	TNOACT8	NOONACT9	TNOACT9	NOONAC10	TNOACT10	EVENACT1	TEVACT1	EVENACT2	TEVACT2	EVENACT3	TEVACT3	EVENACT4	TEVACT4	EVENACT5	TEVACT5	EVENACT6	TEVACT6	EVENACT7	TEVACT7	EVENACT8	TEVACT8	EVENACT9	TEVACT9	EVENAC10	TEVACT10	physwrk	dextwrk	multiwrk	mathwrk	readwrk	getotwrk	streswrk	physhome	dexthome	multihme	mathhome	readhome	getothme	streshme	absentph	intaskph	diffwkph	absenteh	intaskeh	diffwkeh
13	478	478	13	4001	478	11949	2	2	51	2	0	-9	2	-9	-9	-9	2	-9	-9	-9	1	2	-9	-9	1	-9	-9	-9	1	2	-9	-9	1	-9	-9	-9	1	2	-9	-9	1	2	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	2	-9	-9	400	800	1200	1900	2100	3	10	1	3	8	227	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	4	10	8	180	3	5	8	35	-9	-9	-9	-9	-9	-9	3	13	8	117	1	35	3	5	8	250	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	4	3	3	5	8	82	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-7	1	1	-7	1	2	1	-7	-7	-7	-7	1	-7	1	1	1	1	1	1
13	338	338	13	338	338	11824	1	2	38	2	1	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	2	-9	-9	0	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	500	800	1200	1900	2200	1	2	3	58	4	120	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	4	10	3	5	8	50	3	25	8	140	-9	-9	-9	-9	3	15	8	165	3	120	1	10	8	110	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	12	8	158	1	10	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	2	3	1	-7	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2
13	422	422	13	422	422	11898	1	2	47	2	0	-9	1	2	-9	-9	2	7	-9	-9	7	-9	-9	-9	7	1	-9	-9	7	-9	-9	-9	7	1	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	200	900	1400	1900	2100	8	2	1	8	7	350	3	60	-9	-9	-9	-9	-9	-9	-9	-9	3	5	4	20	8	155	7	120	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	60	1	20	3	210	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	110	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	1	2	1	-7	1	1	1	1	1	1	-7	1	1	1	1	1	1	1	1
13	173	173	13	173	173	11711	1	2	44	2	0	-9	1	2	-9	-9	2	1	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	7	1	-9	-9	1	-9	-9	-9	1	7	-9	-9	7	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	500	700	1200	2000	2030	8	3	1	1	4	35	2	15	3	15	4	51	-9	-9	-9	-9	3	41	6	84	4	70	3	4	1	4	6	97	-9	-9	-9	-9	3	12	8	18	6	210	8	180	3	25	8	35	-9	-9	-9	-9	-9	-9	-9	-9	3	15	1	2	8	13	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	3	2	-7	1	3	3	3	3	3	-7	1	3	1	1	1	1	1	1
13	341	341	13	2586	341	11827	1	2	50	2	1	1	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	1	8	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	500	900	1300	1900	2300	1	8	3	15	8	30	3	12	4	60	8	55	4	60	-9	-9	3	10	1	3	3	5	8	222	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	105	3	5	8	55	1	15	8	45	3	65	8	55	-9	-9	-9	-9	3	25	7	30	8	155	1	8	8	22	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-7	-7	1	1	-7	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
13	545	545	13	545	545	11984	1	2	42	2	0	-9	1	-9	-9	-9	1	7	-9	-9	7	1	-9	-9	7	1	-9	-9	1	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	600	-9	1200	1900	2400	1	15	3	225	7	120	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	40	8	65	7	121	3	5	8	25	1	27	8	122	-9	-9	-9	-9	3	10	8	30	7	79	8	60	1	12	8	109	-9	-9	-9	-9	-9	-9	-9	-9	2	1	2	1	-7	1	2	2	1	2	2	1	1	2	1	1	1	1	1	1
13	328	328	13	2213	328	11816	1	2	34	2	0	-9	1	-9	-9	-9	1	2	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	2	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	600	700	1200	1900	2200	1	5	3	20	2	5	3	15	1	15	-9	-9	-9	-9	-9	-9	3	25	1	5	7	145	3	5	7	110	3	10	-9	-9	-9	-9	3	15	8	35	7	130	3	5	7	125	8	20	3	15	8	75	-9	-9	-9	-9	3	25	7	150	1	3	8	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	1	-7	1	2	1	1	1	1	-7	1	2	2	1	1	2	1	1
13	121	121	13	121	121	11674	1	2	40	2	0	-9	1	2	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	2	-9	-9	0	-9	-9	-9	7	-9	-9	-9	1	2	-9	-9	2	-9	-9	-9	600	800	1200	1900	2100	3	30	4	1	3	25	8	62	3	2	-9	-9	-9	-9	-9	-9	3	13	1	7	8	100	3	10	8	20	3	61	8	29	-9	-9	3	9	1	2	4	60	1	9	8	130	3	10	8	110	3	90	-9	-9	-9	-9	3	8	4	1	8	111	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	1	1	1	1	1	1	1	1	1	1
13	270	270	13	3176	270	11784	1	2	43	2	0	-9	2	1	-9	-9	7	1	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	1	-9	-9	2	-9	-9	-9	2	1	-9	-9	7	-9	-9	-9	0	-9	-9	-9	1	7	-9	-9	0	-9	-9	-9	2	-9	-9	-9	530	700	1100	2000	2300	3	32	2	58	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	5	7	19	1	7	7	60	3	9	7	140	-9	-9	-9	-9	3	5	7	226	3	9	8	120	7	60	8	120	-9	-9	-9	-9	-9	-9	-9	-9	3	5	8	175	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13	298	298	13	298	298	11797	1	2	46	2	0	-9	1	2	-9	-9	1	2	-9	-9	7	1	-9	-9	7	1	-9	-9	7	1	-9	-9	1	7	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	600	800	1200	1900	2200	3	30	6	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	13	1	2	3	5	4	65	6	155	-9	-9	-9	-9	-9	-9	3	8	6	227	1	5	4	30	1	15	3	15	6	115	3	5	-9	-9	-9	-9	3	15	1	3	3	5	6	120	8	37	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	-7	2	1	-7	1	3	1	1	2	-7	-7	1	1	1	1	1	1	1	1
