basebrgy	basehhno	basewman	uncmomid	uncchdid	MOMCH07	incwage	incpiece	incfarm	inclstok	incfish	incself	incrent	incboard	incbonus	incloans	incwins	incgardn	incother	inspouse	inkids	inparent	inrelat	outspous	outkids	outparen	outrelat
3	267	267	10430	20430	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
3	209	209	10377	20377	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1
3	275	275	10438	20438	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
3	230	230	10396	20396	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
3	44	44	10250	20250	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3	278	278	10441	20441	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
3	241	241	10405	20405	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	91	91	10287	20287	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
3	162	162	10331	20331	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
3	226	226	10393	20393	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3	218	218	10386	20386	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
1	55	55	10028	20028	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0
1	156	156	10113	20113	2	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1
1	92	92	10057	20057	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
1	68	68	10038	20038	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
1	51	51	10024	20024	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1	140	140	13311	23311	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	132	132	10094	20094	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	102	102	10066	20066	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	95	95	10060	20060	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	114	114	10078	20078	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
1	64	64	10037	20037	2	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1	171	171	10126	20126	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	61	61	10034	20034	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1	58	58	10031	20031	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	75	75	10044	20044	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
1	185	185	10137	20137	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	38	38	10015	20015	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
1	30	30	10008	20008	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	23	23	10004	20004	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
1	108	108	10072	20072	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	172	172	10127	20127	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	26	194	10140	20140	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1
1	47	47	10021	20021	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	105	105	10069	20069	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
1	71	71	10041	20041	2	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
1	77	77	10046	20046	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
