basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	linenumb	maristat	uncmomid	montrvw	dayntrvw	yrntrvw	havemaid	maidnumb	buyfood	BUYFOOD1	BUYFOOD2	BUYFOOD3	cookfood	COOKFOD1	COOKFOD2	COOKFOD3	cleanup	CLEANUP1	CLEANUP2	CLEANUP3	cleanhse	CLEANHS1	CLEANHS2	CLEANHS3	buycloth	BUYCLOT1	BUYCLOT2	BUYCLOT3	washclot	WASHCLO1	WASHCLO2	WASHCLO3	carechld	CARECHD1	CARECHD2	CARECHD3	fetchwat	FETCHWA1	FETCHWA2	FETCHWA3	getwood	GETWOOD1	GETWOOD2	GETWOOD3	tendanim	TENDANI1	TENDANI2	TENDANI3	tendgard	TENDGAR1	TENDGAR2	TENDGAR3	repairs	REPAIRS1	REPAIRS2	REPAIRS3	wakeup	breakfst	lunch	supper	bedtime	WAKEACT1	TWAKEAC1	WAKEACT2	TWAKEAC2	WAKEACT3	TWAKEAC3	WAKEACT4	TWAKEAC4	WAKEACT5	TWAKEAC5	WAKEACT6	TWAKEAC6	WAKEACT7	TWAKEAC7	WAKEACT8	TWAKEAC8	MORNACT1	TMORACT1	MORNACT2	TMORACT2	MORNACT3	TMORACT3	MORNACT4	TMORACT4	MORNACT5	TMORACT5	MORNACT6	TMORACT6	MORNACT7	TMORACT7	MORNACT8	TMORACT8	NOONACT1	TNOACT1	NOONACT2	TNOACT2	NOONACT3	TNOACT3	NOONACT4	TNOACT4	NOONACT5	TNOACT5	NOONACT6	TNOACT6	NOONACT7	TNOACT7	NOONACT8	TNOACT8	NOONACT9	TNOACT9	NOONAC10	TNOACT10	EVENACT1	TEVACT1	EVENACT2	TEVACT2	EVENACT3	TEVACT3	EVENACT4	TEVACT4	EVENACT5	TEVACT5	EVENACT6	TEVACT6	EVENACT7	TEVACT7	EVENACT8	TEVACT8	EVENACT9	TEVACT9	EVENAC10	TEVACT10	mainjob	seconjob	physwrk	dextwrk	multiwrk	mathwrk	readwrk	getotwrk	streswrk	physhome	dexthome	multihme	mathhome	readhome	getothme	streshme	absentph	intaskph	diffwkph	absenteh	intaskeh	diffwkeh
4	46	46	4	46	46	2	2	2	10500	3	1	2005	0	-9	7	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	430	1000	1400	2000	2100	1	5	6	25	3	5	6	295	-9	-9	-9	-9	-9	-9	-9	-9	3	10	6	230	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	6	80	8	30	1	5	8	55	1	35	2	145	-9	-9	-9	-9	-9	-9	3	10	8	50	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	302	-9	3	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	2	2	2	2
4	99	99	4	99	99	2	2	2	10543	2	17	2005	0	-9	1	2	-9	-9	1	2	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	2	-9	-9	1	2	7	-9	0	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	1	2	7	-9	0	-9	-9	-9	2	-9	-9	-9	300	-9	1030	2000	2100	1	20	6	120	3	10	6	300	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	6	5	8	25	1	15	6	135	3	10	6	235	3	65	8	50	-9	-9	3	20	8	20	1	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	302	-9	3	3	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
4	36	36	17	36	36	1	2	2	10494	2	9	2005	0	-9	2	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	1	-9	-9	1	-9	-9	-9	7	1	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	7	2	-9	-9	1	-9	-9	-9	300	-9	1200	1900	2200	1	25	4	45	3	55	8	65	2	80	6	165	3	45	6	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	80	6	240	3	20	6	70	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	45	6	25	8	75	1	12	8	8	-9	-9	-9	-9	-9	-9	-9	-9	302	715	2	1	3	1	1	2	2	3	2	3	1	1	1	2	1	2	1	1	2	1
4	70	70	4	70	70	1	2	2	10517	2	27	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	7	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	500	700	1300	1800	2100	1	10	5	5	3	15	4	30	3	10	4	30	1	20	-9	-9	3	20	8	40	4	120	3	10	8	50	2	90	3	30	-9	-9	3	20	8	100	1	5	8	25	1	5	3	115	8	30	-9	-9	-9	-9	-9	-9	3	20	8	40	3	20	8	85	4	12	1	3	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1	2	1	2	3	2	1	1	1	1	1	1
4	150	150	4	4084	150	1	6	4	10592	2	17	2005	0	-9	7	-9	-9	-9	5	-9	-9	-9	5	-9	-9	-9	5	-9	-9	-9	7	-9	-9	-9	5	-9	-9	-9	5	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	700	705	1200	1900	2000	1	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	25	1	30	8	240	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	8	150	3	30	8	210	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	8	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	3	3	3	3
13	440	440	13	440	440	1	2	2	11916	1	23	2005	0	-9	2	-9	-9	-9	2	-9	-9	-9	1	7	-9	-9	7	1	-9	-9	1	2	-9	-9	2	1	-9	-9	0	-9	-9	-9	7	2	-9	-9	0	-9	-9	-9	7	-9	-9	-9	7	2	1	-9	2	-9	-9	-9	600	845	1200	1900	2100	1	5	7	60	4	50	1	25	8	25	-9	-9	-9	-9	-9	-9	3	15	7	180	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	7	190	3	20	7	180	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	8	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	331	-9	3	1	1	2	1	1	2	3	2	3	1	1	1	3	1	1	1	1	1	1
3	205	205	3	205	205	2	2	2	10373	1	27	2005	0	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	500	-9	1100	1800	300	2	3	8	57	3	5	4	208	8	87	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	220	3	5	8	55	7	70	1	20	7	30	-9	-9	-9	-9	-9	-9	3	20	7	450	8	70	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	335	-9	3	1	1	1	1	3	2	1	2	2	2	2	1	1	2	1	2	1	1	1
17	177	177	17	177	177	1	2	2	12391	1	27	2005	0	-9	2	-9	-9	-9	2	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	2	-9	-9	-9	500	-9	1100	1900	2200	1	5	3	15	1	35	3	5	8	30	4	150	8	120	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	5	5	8	60	4	45	8	190	1	40	8	110	-9	-9	-9	-9	-9	-9	3	20	1	10	8	120	1	3	8	27	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	1	2	1	1	1	2	1	1	1	1	1	1
4	80	80	4	80	80	1	1	5	10526	3	12	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	11	-9	-9	-9	400	-9	1100	1900	2200	1	12	7	108	3	5	4	205	1	1	7	10	8	30	4	49	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	105	7	60	1	1	7	59	3	5	7	65	8	105	5	15	3	50	3	20	8	100	1	4	8	56	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	692	859	2	1	3	-7	-7	3	3	2	2	2	2	1	3	2	2	1	2	2	1	1
4	77	77	4	77	77	2	2	2	13316	2	19	2005	0	-9	1	-9	-9	-9	7	1	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	500	710	1200	2000	2200	1	2	3	30	4	10	5	5	8	53	3	2	2	28	-9	-9	3	5	1	35	6	130	3	30	6	90	-9	-9	-9	-9	-9	-9	3	5	8	55	6	240	3	30	6	150	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	5	6	85	1	20	4	10	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	859	-9	1	1	2	2	3	2	2	1	1	2	2	2	2	2	1	1	1	1	1	1
4	78	78	4	78	78	1	1	1	10524	2	17	2005	0	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	11	-9	-9	-9	1000	-9	1200	1900	2400	1	5	4	25	3	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	7	210	1	60	3	60	8	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	8	270	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	335	-9	2	1	1	1	3	3	2	3	1	3	1	3	3	2	3	2	2	2	2	2
4	132	132	214	132	132	1	2	2	10575	3	12	2005	0	-9	7	1	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	500	700	1200	1830	2200	3	5	1	20	3	20	4	45	3	30	-9	-9	-9	-9	-9	-9	3	15	8	225	3	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	315	3	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	195	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	1	1	1	1	2	2	1	1	1	1	1
13	466	466	13	4002	466	1	2	5	11941	1	11	2005	0	-9	5	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	5	1	-9	-9	1	-9	-9	-9	5	1	-9	-9	5	1	-9	-9	5	1	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	400	500	1200	1940	2040	1	3	3	17	1	40	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	1	1	3	5	8	25	7	239	3	15	7	105	-9	-9	3	30	8	60	7	120	3	15	7	210	3	25	-9	-9	-9	-9	-9	-9	-9	-9	3	30	1	1	3	9	7	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	339	-9	-8	-8	-8	-8	-8	-8	-8	3	1	3	2	2	2	2	1	1	1	1	1	2
13	320	320	13	320	320	1	2	2	11808	1	26	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	7	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	700	800	1230	1900	2200	1	2	4	35	1	23	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	20	6	150	3	60	8	30	-9	-9	-9	-9	-9	-9	3	10	8	50	6	150	8	30	3	90	8	60	-9	-9	-9	-9	-9	-9	-9	-9	3	30	8	30	1	30	8	90	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	711	-9	1	2	2	1	2	1	2	1	1	2	3	2	1	2	1	1	1	1	1	1
4	163	163	142	2277	5	1	2	2	10602	5	22	2005	0	-9	1	-9	-9	-9	2	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	7	1	-9	-9	2	-9	-9	-9	500	545	1100	1900	2200	1	30	7	15	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	210	3	5	7	85	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	40	7	180	3	20	7	175	8	20	1	5	8	20	-9	-9	-9	-9	3	20	1	3	8	157	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	779	-9	2	2	2	1	1	2	1	2	2	2	1	1	2	1	1	1	1	1	1	1
17	192	192	17	192	192	1	2	2	12404	2	2	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	7	2	-9	-9	1	2	-9	-9	1	7	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	300	-9	1100	1900	2200	1	2	6	115	1	3	6	240	3	6	8	114	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	25	1	3	3	10	6	202	3	10	6	50	1	48	6	72	5	2	3	58	3	25	1	7	6	148	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	302	111	2	2	3	2	2	1	2	2	2	3	2	2	2	1	1	1	1	1	1	1
4	134	134	4	134	134	2	2	2	10577	3	5	2005	0	-9	1	7	-9	-9	7	1	-9	-9	7	1	-9	-9	7	1	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	600	1000	1400	1900	2000	1	5	3	5	1	10	7	220	-9	-9	-9	-9	-9	-9	-9	-9	3	10	7	60	8	160	1	10	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	115	1	5	3	15	8	155	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	3	8	47	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	914	-9	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
4	64	64	4	64	64	2	1	2	10511	2	17	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	2	7	1	-9	0	-9	-9	-9	2	1	-9	-9	0	-9	-9	-9	2	-9	-9	-9	500	-9	1200	1900	2300	1	10	8	50	3	10	4	120	8	50	4	60	8	60	3	60	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	50	4	30	8	60	3	10	8	130	3	100	8	30	-9	-9	-9	-9	3	10	8	200	1	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	2	2	1	1	1	1	2	1	1
4	158	158	4	2427	158	1	2	2	10599	3	13	2005	0	-9	1	-9	-9	-9	1	2	-9	-9	7	-9	-9	-9	7	1	-9	-9	7	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	600	710	1200	1900	2300	1	50	7	15	8	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	155	3	15	7	105	-9	-9	-9	-9	-9	-9	-9	-9	3	30	1	5	8	25	7	120	3	25	7	170	3	15	8	30	-9	-9	-9	-9	3	15	8	220	1	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	231	335	1	1	1	1	1	1	2	1	1	-7	1	1	1	1	1	1	1	1	1	1
13	445	445	15	445	445	1	2	2	11920	5	26	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	1	7	-9	-9	7	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	500	900	1100	1900	2200	1	10	4	5	3	75	4	150	-9	-9	-9	-9	-9	-9	-9	-9	3	15	1	15	8	60	4	30	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	160	4	60	3	10	8	230	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	5	3	65	8	100	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	2	1	1	1	2	2	2	2	2	2	2	2
17	86	86	17	86	86	1	3	5	12327	1	29	2005	1	1	1	-9	-9	-9	1	8	-9	-9	8	-9	-9	-9	8	-9	-9	-9	1	-9	-9	-9	8	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	500	700	1400	2000	2400	1	10	3	110	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	1	2	8	103	3	10	8	290	-9	-9	-9	-9	-9	-9	3	15	8	45	3	10	8	110	1	60	8	70	1	3	8	47	-9	-9	-9	-9	3	15	8	45	1	30	8	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	47	-9	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
17	107	107	315	3320	107	1	2	2	12343	5	29	2005	1	2	1	-9	-9	-9	8	7	-9	-9	8	-9	-9	-9	8	7	-9	-9	1	-9	-9	-9	8	-9	-9	-9	7	8	-9	-9	8	7	-9	-9	0	-9	-9	-9	2	7	-9	-9	7	-9	-9	-9	2	-9	-9	-9	430	715	1215	2030	2200	1	30	3	10	8	125	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	7	255	8	15	3	15	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	30	7	180	3	15	7	45	3	150	2	30	1	15	8	15	-9	-9	3	15	8	45	1	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	116	335	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
17	73	73	245	3096	73	2	4	2	12317	3	29	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	3	-9	-9	1	3	-9	-9	5	-9	-9	-9	1	3	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	3	-9	-9	-9	2	-9	-9	-9	600	700	1200	1900	2200	1	2	3	30	4	28	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	20	4	220	1	25	8	35	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	225	3	115	8	65	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	150	1	10	4	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	1	1	2	3	1	1	2	1	1	1	1	1	1
4	45	45	4	45	45	1	2	3	10499	2	22	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	1	-9	-9	0	-9	-9	-9	600	700	1200	1800	2100	1	2	3	13	4	25	1	15	4	2	3	3	-9	-9	-9	-9	3	5	6	290	3	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	50	6	240	3	15	8	45	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	4	20	8	120	1	12	4	8	8	10	-9	-9	-9	-9	-9	-9	-9	-9	852	-9	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
4	83	83	4	83	83	2	2	2	10529	3	2	2005	0	-9	1	2	-9	-9	2	1	-9	-9	2	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	2	-9	-9	1	-9	-9	-9	700	930	1300	1900	2300	1	10	4	10	6	70	3	5	6	55	-9	-9	-9	-9	-9	-9	3	10	6	80	1	30	3	90	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	20	6	150	3	5	6	85	8	10	6	80	-9	-9	-9	-9	-9	-9	3	10	8	110	6	60	8	45	1	15	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	302	-9	2	1	3	1	1	2	1	2	2	3	1	1	1	1	1	1	1	1	1	1
8	72	72	270	72	72	1	2	2	10940	2	21	2005	0	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	400	-9	1100	1800	2200	1	5	4	27	3	13	4	50	1	20	7	5	3	15	7	225	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	7	100	8	5	7	60	3	5	7	285	8	15	-9	-9	-9	-9	-9	-9	3	10	8	230	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	111	-9	2	2	2	2	2	1	2	2	1	2	2	2	3	2	1	1	1	1	1	1
4	147	147	4	147	147	1	2	2	10589	3	5	2005	0	-9	1	-9	-9	-9	7	1	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	7	-9	-9	-9	9	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	400	-9	1200	1705	2230	1	1	4	59	3	47	1	20	8	83	6	270	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	160	6	120	1	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	6	100	1	5	8	205	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	782	-9	1	1	1	1	-7	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1
8	135	135	8	135	135	2	2	2	10989	3	9	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	2	-9	-9	1	2	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	2	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	2	-9	-9	-9	700	730	1200	1800	2000	1	2	3	5	4	10	1	5	4	3	3	5	-9	-9	-9	-9	3	10	5	30	4	190	3	10	4	30	-9	-9	-9	-9	-9	-9	3	25	4	175	1	10	8	90	3	10	8	15	5	5	3	30	-9	-9	-9	-9	3	25	8	95	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	2	2	2	2	3	2	2	2	2	2	1	2	1
4	173	173	4	173	173	1	1	4	10605	2	21	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	7	-9	-9	430	-9	1100	1900	2200	1	30	6	120	3	30	8	30	6	180	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	1	30	8	180	3	30	8	30	1	40	8	20	3	50	8	70	-9	-9	3	10	1	5	3	15	8	150	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	111	-9	1	1	2	2	-7	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1
4	122	122	4	122	122	1	1	2	10565	2	16	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	1	-9	-9	1	7	-9	-9	1	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	7	2	-9	-9	0	-9	-9	-9	2	-9	-9	-9	500	-9	1100	1900	2200	1	10	3	50	1	20	3	10	7	225	3	45	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	3	8	107	4	90	8	110	3	100	8	57	1	3	-9	-9	-9	-9	3	15	8	135	1	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	331	-9	3	1	1	1	1	1	2	2	1	2	2	2	1	1	1	1	1	1	1	1
7	84	84	7	3056	84	1	1	4	10771	1	19	2005	1	1	1	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	8	7	1	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	600	800	1200	1900	2200	1	10	3	20	1	60	7	30	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	10	7	60	5	30	4	40	8	30	3	60	-9	-9	3	30	8	120	4	60	3	10	8	20	3	70	8	110	-9	-9	-9	-9	-9	-9	3	10	8	140	1	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	3	3	1	1	1	2	1	1	2	1	2	1
