basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	linenumb	maristat	uncmomid	montrvw	dayntrvw	yrntrvw	havemaid	maidnumb	buyfood	BUYFOOD1	BUYFOOD2	BUYFOOD3	cookfood	COOKFOD1	COOKFOD2	COOKFOD3	cleanup	CLEANUP1	CLEANUP2	CLEANUP3	cleanhse	CLEANHS1	CLEANHS2	CLEANHS3	buycloth	BUYCLOT1	BUYCLOT2	BUYCLOT3	washclot	WASHCLO1	WASHCLO2	WASHCLO3	carechld	CARECHD1	CARECHD2	CARECHD3	fetchwat	FETCHWA1	FETCHWA2	FETCHWA3	getwood	GETWOOD1	GETWOOD2	GETWOOD3	tendanim	TENDANI1	TENDANI2	TENDANI3	tendgard	TENDGAR1	TENDGAR2	TENDGAR3	repairs	REPAIRS1	REPAIRS2	REPAIRS3	wakeup	breakfst	lunch	supper	bedtime	WAKEACT1	TWAKEAC1	WAKEACT2	TWAKEAC2	WAKEACT3	TWAKEAC3	WAKEACT4	TWAKEAC4	WAKEACT5	TWAKEAC5	WAKEACT6	TWAKEAC6	WAKEACT7	TWAKEAC7	WAKEACT8	TWAKEAC8	MORNACT1	TMORACT1	MORNACT2	TMORACT2	MORNACT3	TMORACT3	MORNACT4	TMORACT4	MORNACT5	TMORACT5	MORNACT6	TMORACT6	MORNACT7	TMORACT7	MORNACT8	TMORACT8	NOONACT1	TNOACT1	NOONACT2	TNOACT2	NOONACT3	TNOACT3	NOONACT4	TNOACT4	NOONACT5	TNOACT5	NOONACT6	TNOACT6	NOONACT7	TNOACT7	NOONACT8	TNOACT8	NOONACT9	TNOACT9	NOONAC10	TNOACT10	EVENACT1	TEVACT1	EVENACT2	TEVACT2	EVENACT3	TEVACT3	EVENACT4	TEVACT4	EVENACT5	TEVACT5	EVENACT6	TEVACT6	EVENACT7	TEVACT7	EVENACT8	TEVACT8	EVENACT9	TEVACT9	EVENAC10	TEVACT10	mainjob	seconjob	physwrk	dextwrk	multiwrk	mathwrk	readwrk	getotwrk	streswrk	physhome	dexthome	multihme	mathhome	readhome	getothme	streshme	absentph	intaskph	diffwkph	absenteh	intaskeh	diffwkeh
1	105	105	1	105	105	1	2	2	10069	1	11	2005	0	-9	1	-9	-9	-9	1	7	2	-9	7	-9	-9	-9	1	7	-9	-9	7	1	-9	-9	2	1	-9	-9	1	-9	-9	-9	0	-9	-9	-9	1	2	-9	-9	0	-9	-9	-9	2	1	-9	-9	2	-9	-9	-9	500	-9	1100	2000	2300	1	3	6	5	4	30	6	22	3	5	6	115	1	15	6	165	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	8	140	6	145	1	5	6	55	3	25	6	40	3	60	6	30	8	30	3	15	8	15	6	140	1	10	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	302	-9	2	1	3	1	2	1	2	2	2	2	1	2	1	2	1	1	1	1	1	1
3	295	295	3	295	295	2	2	2	10458	2	5	2005	1	1	2	1	-9	-9	8	-9	-9	-9	8	-9	-9	-9	8	-9	-9	-9	1	2	-9	-9	8	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	530	630	1200	1830	2200	2	7	1	14	8	39	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	20	1	25	3	4	1	7	7	259	-9	-9	-9	-9	3	15	8	45	7	259	8	69	3	2	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	15	8	185	4	5	8	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	71	-9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
3	173	173	3	173	173	1	2	2	10341	2	4	2005	0	-9	7	-9	-9	-9	7	-9	-9	-9	7	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	600	730	1200	2000	2200	1	3	4	2	8	10	7	75	-9	-9	-9	-9	-9	-9	-9	-9	3	5	7	260	8	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	5	7	20	8	60	1	20	7	20	4	60	8	30	3	5	7	250	4	10	3	5	7	95	8	20	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	915	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2
1	132	132	1	132	132	1	2	2	10094	1	14	2005	0	-9	1	-9	-9	-9	1	2	-9	-9	1	7	-9	-9	7	1	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	1	7	-9	-9	2	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	430	-9	1200	1900	2200	1	20	2	10	7	290	3	10	1	5	8	25	3	60	6	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	20	8	40	6	60	4	30	2	90	8	30	4	30	1	25	6	35	3	60	3	50	8	10	4	90	6	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	302	335	3	3	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2
1	78	78	1	78	78	1	1	4	10047	1	8	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	530	700	1300	1900	2100	1	7	3	15	2	20	8	48	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	1	8	349	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	1	1	8	169	1	20	6	35	3	15	8	110	-9	-9	-9	-9	-9	-9	3	10	1	1	8	108	1	1	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	335	-9	1	1	-7	1	-7	1	1	1	1	-7	1	-7	1	1	1	1	1	1	1	1
1	27	27	1	27	27	2	2	2	10007	1	23	2005	0	-9	1	1	-9	-9	7	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	7	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	7	-9	-9	-9	2	-9	-9	-9	430	600	1200	2030	2100	1	5	4	55	1	30	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	5	1	1	8	84	7	150	3	4	1	1	7	115	-9	-9	3	10	8	50	7	120	3	4	1	1	7	175	1	1	7	145	-9	-9	-9	-9	3	10	1	2	8	18	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	779	-9	1	1	-7	-7	-7	1	2	1	2	-7	2	-7	1	1	1	1	1	1	1	1
1	102	102	1	102	102	1	2	2	10066	1	11	2005	0	-9	1	-9	-9	-9	1	7	-9	-9	7	2	-9	-9	7	-9	-9	-9	1	7	-9	-9	1	7	-9	-9	1	-9	-9	-9	7	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	0	-9	-9	-9	7	2	-9	-9	400	700	1200	1800	2200	1	3	3	32	4	145	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	30	1	5	7	25	1	10	7	10	3	5	7	115	-9	-9	3	5	7	205	3	5	7	20	8	5	6	30	3	30	6	60	-9	-9	-9	-9	3	10	8	5	6	45	3	10	6	50	8	120	-9	-9	-9	-9	-9	-9	-9	-9	914	302	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
1	185	185	1	185	185	1	2	2	10137	1	17	2005	0	-9	1	-9	-9	-9	1	2	-9	-9	7	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	1	7	-9	-9	1	-9	-9	-9	7	2	-9	-9	0	-9	-9	-9	0	-9	-9	-9	2	-9	-9	-9	2	-9	-9	-9	600	800	1200	1900	2200	1	2	3	28	1	10	3	5	2	10	4	10	8	5	6	50	3	15	1	3	4	72	2	30	6	60	3	30	8	30	-9	-9	3	15	6	180	3	5	6	40	3	60	1	20	8	80	3	10	2	10	-9	-9	3	15	8	15	6	30	8	120	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	914	711	2	1	2	-7	-7	1	2	1	1	1	2	-7	1	1	2	2	1	1	1	1
3	282	282	3	282	282	1	1	5	10445	1	20	2005	0	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	1	-9	-9	-9	7	1	-9	-9	1	-9	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	7	-9	-9	-9	1000	1130	1400	2100	200	1	17	4	20	7	46	8	7	-9	-9	-9	-9	-9	-9	-9	-9	3	5	7	140	8	5	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	10	4	90	8	90	3	3	8	60	1	6	7	161	-9	-9	-9	-9	-9	-9	3	5	8	10	7	123	8	60	7	30	4	5	8	67	-9	-9	-9	-9	-9	-9	111	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2
3	151	151	3	151	151	2	3	5	10321	1	25	2005	0	-9	3	-9	-9	-9	3	-9	-9	-9	3	-9	-9	-9	3	6	-9	-9	1	-9	-9	-9	3	1	-9	-9	1	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	0	-9	-9	-9	3	-9	-9	-9	6	7	-9	-9	800	1000	1300	1800	2400	1	2	8	30	1	10	7	20	8	30	1	28	-9	-9	-9	-9	3	5	8	30	7	141	8	4	-9	-9	-9	-9	-9	-9	-9	-9	3	5	8	5	7	119	8	30	7	141	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	3	5	7	321	8	34	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	-9	84	-9	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1
