basebrgy	basehhno	basewman	BRGAY05	HHNUMB05	WOMAN05	MOMCH05	uncmomid	moperson	dayprson	yrperson	linenumb	relhead	relmom	relindex	paidcash	sex	monbirth	yearbirt	age	resident	gradecom	inschool	worknow	workpast
1	72	72	1	72	72	2	10042	1	17	2005	8	4	4	6	-9	1	11	1991	13	1	4	0	0	0
1	72	72	1	72	72	2	10042	1	17	2005	9	8	8	15	0	1	12	1992	12	1	4	0	0	0
13	456	456	13	456	456	1	11931	1	10	2005	1	0	0	3	-9	2	6	1958	46	1	6	0	0	0
13	456	456	13	456	456	1	11931	1	10	2005	2	4	4	6	-9	1	4	1980	24	1	13	0	0	1
13	456	456	13	456	456	1	11931	1	10	2005	3	5	5	34	0	2	4	1984	20	1	11	0	0	1
13	456	456	13	456	456	1	11931	1	10	2005	4	9	9	5	0	2	2	2004	0	1	-9	-9	-9	-9
13	456	456	13	456	456	1	11931	1	10	2005	5	31	31	31	0	2	11	1996	8	1	1	1	0	0
13	454	454	13	454	454	2	11929	1	23	2005	1	0	1	2	-9	1	3	1951	53	1	10	0	1	-9
13	454	454	13	454	454	2	11929	1	23	2005	2	1	0	3	-9	2	8	1949	55	1	10	0	1	-9
13	454	454	13	454	454	2	11929	1	23	2005	3	4	4	6	-9	1	10	1979	25	1	10	0	1	-9
13	454	454	13	454	454	2	11929	1	23	2005	4	5	5	7	-9	2	2	1986	18	1	11	0	1	-9
13	454	454	13	454	454	2	11929	1	23	2005	5	5	5	7	-9	2	11	1993	11	1	4	1	0	0
13	454	454	13	454	454	2	11929	1	23	2005	6	5	5	7	0	2	5	1978	26	1	13	0	1	-9
13	454	454	13	454	454	2	11929	1	23	2005	7	19	19	21	0	1	1	1973	32	1	9	0	0	0
13	454	454	13	454	454	2	11929	1	23	2005	8	8	8	15	0	1	12	1999	5	1	-9	-9	-9	-9
13	454	454	13	454	454	2	11929	1	23	2005	9	8	8	15	0	1	10	2000	4	1	-9	-9	-9	-9
13	504	504	1	3260	504	2	11967	2	1	2005	1	0	0	3	-9	2	12	1951	53	1	15	0	1	-9
13	106	106	13	106	106	1	11662	1	8	2005	1	0	1	2	-9	1	10	1952	52	1	11	0	1	-9
13	106	106	13	106	106	1	11662	1	8	2005	2	1	0	3	-9	2	5	1954	50	1	3	0	1	-9
13	106	106	13	106	106	1	11662	1	8	2005	3	4	4	6	-9	1	4	1975	29	1	11	0	1	-9
13	106	106	13	106	106	1	11662	1	8	2005	4	4	4	34	-9	1	5	1983	21	1	9	0	1	-9
13	106	106	13	106	106	1	11662	1	8	2005	5	5	5	7	-9	2	1	1988	17	1	10	1	0	0
13	106	106	13	106	106	1	11662	1	8	2005	6	4	4	6	-9	1	6	1990	14	1	8	1	0	0
3	274	274	13	3386	274	1	10437	1	23	2005	8	30	30	30	1	2	-8	1951	53	1	0	0	-7	-7
1	33	33	1	33	33	2	10010	1	29	2005	1	0	1	2	-9	1	1	1952	53	1	5	0	1	-9
1	33	33	1	33	33	2	10010	1	29	2005	2	1	0	3	-9	2	12	1954	50	1	2	0	1	-9
1	133	133	1	1024	133	1	10095	1	13	2005	1	0	1	38	-9	1	8	1959	45	1	15	0	1	-9
1	133	133	1	1024	133	1	10095	1	13	2005	2	1	0	3	-9	2	11	1962	42	1	9	0	0	0
1	133	133	1	1024	133	1	10095	1	13	2005	3	40	5	34	-9	2	9	1983	21	1	10	1	0	0
1	105	105	1	105	105	1	10069	1	11	2005	1	0	1	2	-9	1	6	1952	52	1	11	0	1	-9
1	105	105	1	105	105	1	10069	1	11	2005	2	1	0	3	-9	2	8	1954	50	1	6	0	1	-9
1	105	105	1	105	105	1	10069	1	11	2005	3	5	5	7	-9	2	2	1981	23	1	15	0	1	-9
1	105	105	1	105	105	1	10069	1	11	2005	4	5	5	34	-9	2	9	1983	21	1	14	1	1	-9
3	295	295	3	295	295	2	10458	2	5	2005	1	0	1	2	-9	1	3	1970	34	1	14	0	0	0
3	295	295	3	295	295	2	10458	2	5	2005	2	1	0	3	-9	2	7	1966	38	1	15	0	1	-9
3	295	295	3	295	295	2	10458	2	5	2005	3	4	4	6	-9	1	6	1987	17	1	10	1	0	0
3	295	295	3	295	295	2	10458	2	5	2005	4	5	5	7	-9	2	11	1988	16	1	8	1	0	0
